School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
UAB,11,19,115,1448,633,4007,0.203,1343,1608,151,66,352,242,1411,594,3924,0.208
UConn,11,21,119,1514,730,4284,0.183,1432,1726,137,47,285,189.5,1406,562,3962,0.213
UNCW,11,17,105,1244,510,3993,0.184,1133,1578,126,36,401,236.5,1468,623,4023,0.21
UT Martin,11,18,110,1353,687,3975,0.168,1243,1673,115,46,402,247,1388,615,3971,0.195
Western Caro.,11,19,110,1326,541,4161,0.189,1225,1766,115,63,338,232,1571,662,4297,0.212
Wright St.,11,18,112,1415,646,4254,0.181,1337,1893,133,22,430,237,1494,591,4257,0.212
Arizona St.,10,22,117,1527,653,4162,0.21,1454,1900,86,103,254,230,1616,575,4348,0.239
Bradley,10,22,122,1613,700,4824,0.189,1524,2222,110,41,344,213,1651,639,4756,0.213
Canisius,10,18,100,1175,592,3465,0.168,1063,1450,155,28,315,185.5,1215,537,3473,0.195
Chicago St.,10,21,115,1475,806,4423,0.151,1400,1775,124,31,277,169.5,1524,519,4058,0.248
Columbia,10,13,91,1072,449,3049,0.204,993,1312,157,34,312,190,1158,476,3170,0.215
Dartmouth,10,13,85,922,465,2854,0.16,827,1197,76,47,326,210,1095,519,3012,0.191
Davidson,10,17,109,1259,542,3727,0.192,1189,1595,152,63,308,217,1391,565,3797,0.218
Evansville,10,20,114,1308,680,4247,0.148,1202,1889,137,31,363,212.5,1487,619,4279,0.203
Georgia St.,10,19,117,1328,656,4144,0.162,1240,1727,153,56,311,211.5,1461,589,4019,0.217
Kansas St.,10,19,116,1442,570,4106,0.212,1345,1705,137,33,428,247,1565,615,4151,0.229
Long Beach St.,10,19,108,1246,522,3647,0.199,1152,1451,136,49,408,253,1458,577,3746,0.235
Loyola Maryland,10,19,105,1254,595,3666,0.18,1158,1469,107,49,299,198.5,1346,535,3614,0.224
Memphis,10,22,118,1419,690,4311,0.169,1345,1825,130,32,434,249,1543,620,4275,0.216
Mercer,10,21,118,1436,567,4114,0.211,1346,1698,152,36,288,180,1492,593,4060,0.221
Mississippi St.,10,23,115,1296,699,3841,0.155,1220,1377,147,67,250,192,1470,532,3547,0.264
Montana St.,10,15,98,1191,595,3596,0.166,1129,1420,122,18,350,193,1288,513,3463,0.224
Nevada,10,20,109,1385,689,4007,0.174,1288,1579,146,47,359,226.5,1464,595,3861,0.225
Omaha,10,18,104,1334,586,4018,0.186,1229,1754,146,55,340,225,1303,539,3855,0.198
Quinnipiac,10,22,120,1433,732,4160,0.169,1340,1579,191,27,336,195,1474,576,3901,0.23
Texas A&M,10,15,88,1085,507,3000,0.193,1016,1237,113,53,310,208,1091,473,3012,0.205
UC Riverside,10,18,103,1299,607,3819,0.181,1242,1679,79,49,271,184.5,1336,533,3784,0.212
Virginia Tech,10,21,115,1440,667,3803,0.203,1350,1545,115,35,322,196,1487,568,3817,0.241
Little Rock,9,19,112,1349,570,4008,0.194,1207,1663,123,75,366,258,1444,634,4039,0.201
Saint Mary's (CA),9,19,107,1304,536,3701,0.208,1226,1460,157,50,433,266.5,1480,609,3803,0.229
UMKC,9,19,97,1173,620,3570,0.155,1092,1515,101,53,316,211,1268,534,3588,0.205
Weber St.,9,20,110,1341,540,3964,0.202,1256,1718,104,72,437,290.5,1574,632,4219,0.223
Charleston So.,8,22,111,1206,587,4125,0.15,1105,1790,124,61,318,220,1478,622,4197,0.204
DePaul,8,22,110,1343,629,3924,0.182,1249,1576,148,40,303,191.5,1473,525,3833,0.247
Ga. Southern,8,21,106,1188,547,3445,0.186,1126,1428,130,53,362,234,1436,608,3712,0.223
Georgetown,8,22,120,1440,615,3897,0.212,1335,1506,148,27,306,180,1460,516,3763,0.251
Grand Canyon,8,18,100,1230,552,3683,0.184,1164,1626,130,35,326,198,1320,531,3702,0.213
Incarnate Word,8,15,89,1017,480,3012,0.178,959,1275,102,63,268,197,1076,463,3014,0.203
Jackson St.,8,26,125,1256,773,4071,0.119,1165,1614,136,41,296,189,1517,672,4080,0.207
Mississippi Val.,8,26,117,1039,700,4123,0.082,970,1904,135,24,178,113,1477,635,4230,0.199
Montana,8,21,107,1303,672,3852,0.164,1231,1601,116,49,327,212.5,1427,549,3871,0.227
Morgan St.,8,18,98,1052,576,3217,0.148,982,1303,116,36,186,129,1182,515,3192,0.209
Northern Ill.,8,23,113,1258,642,4032,0.153,1179,1588,100,44,323,205.5,1641,610,4142,0.249
Prairie View,8,19,96,1097,689,3360,0.121,1038,1440,92,26,237,144.5,1109,518,3286,0.18
